    [C]             [L]         [T]
    [V] [R] [M]     [T]         [B]
    [F] [G] [H] [Q] [Q]         [H]
    [W] [L] [P] [V] [M] [V]     [F]
    [P] [C] [W] [S] [Z] [B] [S] [P]
[G] [R] [M] [B] [F] [J] [S] [Z] [D]
[J] [L] [P] [F] [C] [H] [F] [J] [C]
[Z] [Q] [F] [L] [G] [W] [H] [F] [M]
 1   2   3   4   5   6   7   8   9 

move 1 from 5 to 6
move 5 from 6 to 7
move 10 from 7 to 3
move 4 from 8 to 4
move 2 from 5 to 4
move 4 from 3 to 6
move 6 from 2 to 4
move 8 from 6 to 9
move 5 from 9 to 2
move 7 from 2 to 7
move 2 from 1 to 4
move 3 from 3 to 8
move 1 from 5 to 9
move 1 from 3 to 8
move 1 from 1 to 2
move 11 from 4 to 6
move 2 from 5 to 6
move 10 from 9 to 1
move 4 from 8 to 3
move 7 from 7 to 1
move 9 from 1 to 2
move 1 from 6 to 5
move 1 from 5 to 9
move 5 from 3 to 8
move 2 from 9 to 1
move 5 from 3 to 9
move 3 from 6 to 8
move 5 from 9 to 6
move 6 from 6 to 3
move 3 from 3 to 2
move 1 from 9 to 8
move 13 from 2 to 3
move 3 from 8 to 1
move 11 from 1 to 4
move 3 from 4 to 1
move 2 from 6 to 5
move 4 from 6 to 8
move 17 from 3 to 9
move 1 from 1 to 8
move 1 from 6 to 5
move 1 from 3 to 7
move 1 from 7 to 4
move 3 from 4 to 1
move 1 from 3 to 8
move 4 from 8 to 1
move 3 from 5 to 9
move 1 from 6 to 4
move 4 from 4 to 8
move 2 from 8 to 4
move 2 from 1 to 6
move 4 from 8 to 6
move 1 from 8 to 3
move 6 from 6 to 3
move 6 from 3 to 9
move 6 from 1 to 4
move 5 from 8 to 4
move 1 from 3 to 6
move 3 from 1 to 7
move 1 from 6 to 7
move 4 from 4 to 5
move 24 from 9 to 5
move 2 from 9 to 1
move 27 from 5 to 7
move 13 from 7 to 2
move 1 from 5 to 9
move 7 from 2 to 7
move 1 from 9 to 8
move 5 from 2 to 8
move 1 from 2 to 5
move 1 from 5 to 7
move 21 from 4 to 1
move 1 from 4 to 6
move 1 from 6 to 5
move 22 from 7 to 5
move 2 from 7 to 8
move 7 from 5 to 4
move 1 from 4 to 5
move 2 from 7 to 9
move 5 from 5 to 2
move 5 from 4 to 2
move 3 from 5 to 1
move 7 from 8 to 7
move 1 from 4 to 1
move 23 from 1 to 8
move 2 from 9 to 4
move 11 from 8 to 3
move 3 from 1 to 3
move 1 from 4 to 2
move 12 from 3 to 2
move 7 from 7 to 3
move 3 from 2 to 1
move 1 from 4 to 9
move 1 from 1 to 3
move 9 from 8 to 6
move 2 from 5 to 4
move 3 from 1 to 7
move 3 from 2 to 4
move 7 from 2 to 3
move 9 from 3 to 4
move 7 from 5 to 2
move 2 from 7 to 2
